,Combined,Game,PitchTypeAll,Pitchtype_3classes_5player,Pitchtype_3classes_Allplayer,Player,PositionCF,PositionSV
22,Curveball,490987-fd30ce08-4c8c-4c73-ae20-568ccf89884e,Curveball,Breaking Ball,Breaking Ball,595191.0,Windup,
23,Fastball (4-seam),490987-9e4e1c0c-94b8-43b4-8daf-3eb70c66c602,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,
24,Curveball,490987-8f262902-e44f-4141-938f-1405c52de552,Curveball,Breaking Ball,Breaking Ball,592314.0,Windup,
25,Fastball (4-seam),490987-6d986cd7-8c88-47a2-b7c1-befae7886bc5,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
26,Fastball (4-seam),490987-c7f4c2d8-9a59-4b2e-b2ef-d259809f0d57,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
27,Curveball,490987-b2dc9885-0cc0-4ff0-be59-cee5c69010c4,Changeup,Breaking Ball,Breaking Ball,592314.0,Windup,Windup
28,Slider,490987-a1e2128c-e186-4c55-91a3-642777e8a5fb,Slider,Breaking Ball,Breaking Ball,592314.0,Windup,Windup
29,Fastball (4-seam),490987-557d90d1-6e93-424c-b596-606110b3e41d,Curveball,Fastball,Fastball,595191.0,Windup,Windup
30,Curveball,490987-6dfb8644-9e18-4f5a-9e85-347f7a725d78,Curveball,Fastball,Breaking Ball,595191.0,Windup,Windup
31,Fastball (4-seam),490987-a2d02351-4fb5-4079-b4a5-a74da386cc69,Fastball (4-seam),Fastball,Fastball,595191.0,Windup,
32,Curveball,490987-7edca537-27b3-4957-a471-462db946a96a,Curveball,Fastball,Breaking Ball,595191.0,Windup,
33,Fastball (4-seam),490987-c016d0e9-9c5c-453a-b897-4e6ba28b9c13,Fastball (4-seam),Fastball,Fastball,595191.0,Windup,
34,Curveball,490987-4979886b-69a8-4b21-88cd-eb98c1893e44,Curveball,Fastball,Breaking Ball,595191.0,Windup,Windup
35,Fastball (4-seam),490987-1447164e-216f-4134-82c3-2f98eeca833c,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
36,Fastball (4-seam),490987-e6666bc5-2967-4b39-9ea1-1eb831508877,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
37,Fastball (2-seam),490987-50bc406c-d234-47ee-8181-f30516f6a73c,Fastball (2-seam),Fastball,Fastball,592314.0,Windup,
38,Curveball,490987-7f4631c5-f688-4988-bd0e-ea7623a4787c,Fastball (4-seam),Breaking Ball,Breaking Ball,592314.0,Windup,Windup
39,Fastball (2-seam),490987-f30d1d97-66b1-4c95-86ec-561aa504cacc,Fastball (2-seam),Fastball,Fastball,592314.0,Stretch,Stretch
40,Slider,490987-69d047ec-4fbf-4c88-830a-86541b7a321c,Slider,Breaking Ball,Breaking Ball,592314.0,Stretch,Stretch
41,Fastball (2-seam),490987-313083db-da18-4d11-9517-6187ec3a3c84,Fastball (2-seam),Fastball,Fastball,592314.0,Stretch,Stretch
42,Slider,490987-fc2943ad-10e3-4074-8b25-120562eebffb,Slider,Breaking Ball,Breaking Ball,592314.0,Windup,
43,Slider,490987-812f6fc0-2e99-4c44-92fc-db359ac536b5,Slider,Breaking Ball,Breaking Ball,592314.0,Windup,
44,Fastball (2-seam),490987-e5225d18-6c47-41e2-b030-81c94a14716f,Slider,Fastball,Fastball,592314.0,Windup,
45,Fastball (4-seam),490987-7f328c1a-777a-490b-bb7e-142592fcbfa5,Fastball (4-seam),Fastball,Fastball,595191.0,Windup,Windup
46,Fastball (2-seam),490987-57c3f683-d3cb-4f01-8fb6-09239834caf7,Fastball (2-seam),Fastball,Fastball,595191.0,Windup,Windup
47,Curveball,490987-af62fe6d-a2ad-4b66-8e27-42fc5403469f,Curveball,Fastball,Breaking Ball,595191.0,Stretch,
48,Fastball (2-seam),490987-09367424-e3d8-431c-8b37-cb59b035f29b,Curveball,Fastball,Fastball,595191.0,Stretch,
49,Fastball (2-seam),490987-879f4a2a-74ee-4bf4-bd37-5ef7b0d7ed9a,Fastball (2-seam),Fastball,Fastball,595191.0,Stretch,Stretch
50,Curveball,490987-ff856a4b-79c0-4b37-93ca-7165cd485c76,Curveball,Fastball,Breaking Ball,595191.0,Stretch,Stretch
51,Fastball (4-seam),490987-ddfb4b93-75ea-4f26-ac7a-30669c061e1a,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,
52,Curveball,490987-08c18569-b30e-4bca-8f06-0d23fa71cc00,Curveball,Breaking Ball,Breaking Ball,592314.0,Windup,Windup
53,Fastball (4-seam),490987-791fe22b-835e-427f-b6a2-c83892f9c415,Curveball,Breaking Ball,Fastball,592314.0,Windup,Windup
54,Curveball,490987-94b97f85-9bb5-43e7-82af-1aeada06c449,Curveball,Fastball,Breaking Ball,595191.0,Windup,Windup
55,Curveball,490987-be17654c-af88-4254-90f5-f9ad9ca8aa5a,Curveball,Fastball,Breaking Ball,595191.0,Stretch,Stretch
56,Curveball,490987-0eccdacd-c37c-4f28-8e04-25134da92bb8,Curveball,Fastball,Breaking Ball,595191.0,Stretch,Stretch
57,Slider,490987-766c32df-a0d2-4e02-803e-9482c2acb843,Slider,Fastball,Breaking Ball,595191.0,Stretch,Stretch
58,Curveball,490987-d3973568-4809-47f7-9e76-5cb4967a3959,Curveball,Fastball,Breaking Ball,595191.0,Windup,
59,Slider,490987-68e4477a-dc52-436a-bd10-864bd2e0e9e7,Slider,Fastball,Breaking Ball,595191.0,Windup,
60,Fastball (4-seam),490987-076471c4-0f0d-4a0e-80f1-79e754d99a9c,Curveball,Fastball,Fastball,592314.0,Windup,Windup
61,Slider,490987-55b605df-04c4-458f-9eaa-76634ea17b3e,Fastball (4-seam),Fastball,Breaking Ball,592314.0,Windup,Windup
62,Fastball (2-seam),490987-828e62fa-2029-4f64-94b8-e1dc170eec22,Curveball,Fastball,Fastball,592314.0,Stretch,Windup
63,Fastball (2-seam),490987-6b94a727-755f-4f1c-8ce5-ba9e4487a353,Fastball (2-seam),Fastball,Fastball,592314.0,Stretch,Stretch
64,Curveball,490987-cee0307f-dcbf-4256-b320-58bac36c691b,Curveball,Breaking Ball,Breaking Ball,592314.0,Stretch,Stretch
65,Slider,490987-73f15cd6-5e98-4797-a3a0-1076be0b08bf,Slider,Breaking Ball,Breaking Ball,592314.0,Stretch,Stretch
66,Slider,490987-39cf116f-a4a6-442f-aaec-5accaf3b4079,Slider,Breaking Ball,Breaking Ball,592314.0,Stretch,Stretch
67,Fastball (4-seam),490987-eacdb8fa-67c1-47f7-864c-057c15989606,Fastball (4-seam),Fastball,Fastball,592314.0,Stretch,Stretch
68,Fastball (2-seam),490987-d8e3cf16-5d09-40b8-86ae-df6910291471,Fastball (2-seam),Fastball,Fastball,592314.0,Stretch,Stretch
69,Slider,490987-7e63f8d1-22fe-415c-a794-aa8048f0c970,Slider,Breaking Ball,Breaking Ball,605388.0,Stretch,Stretch
70,Changeup,490987-fa522a12-2678-46ca-9c61-1c58dfd8cd29,Changeup,Fastball,Changeup,605388.0,Stretch,Stretch
71,Fastball (2-seam),490987-577af345-1647-4960-944d-cd6beed1c955,Fastball (2-seam),Fastball,Fastball,605388.0,Stretch,
72,Fastball (4-seam),490987-5f729d8e-6f23-4de2-af80-5064382f76b1,Fastball (4-seam),Fastball,Fastball,605388.0,Stretch,
73,Slider,490987-5b2ea358-9a24-4421-aea9-8b187eed41b3,Slider,Fastball,Breaking Ball,605388.0,Stretch,Stretch
74,Slider,490987-d825e03f-98b4-4bd6-8043-8b5bfc52489b,Slider,Breaking Ball,Breaking Ball,592314.0,Windup,Windup
75,Curveball,490987-24bd0c5b-707f-4ecc-8982-6342aced0356,Curveball,Breaking Ball,Breaking Ball,592314.0,Stretch,Stretch
76,Slider,490987-b046b011-db3a-43c1-b313-0be252861ead,Slider,Breaking Ball,Breaking Ball,592314.0,Stretch,
77,Fastball (2-seam),490987-6b7ffaf7-f411-431a-b657-f41a75252e16,Fastball (2-seam),Fastball,Fastball,592314.0,Stretch,Stretch
78,Curveball,490987-b6b51c40-97fb-4bc4-8f82-1566df26b558,Curveball,Fastball,Breaking Ball,592314.0,Stretch,Stretch
79,Knuckleball,490987-95c9d8c5-c0db-4e2d-a9a4-3be9371ae09c,Fastball (2-seam),Fastball,Breaking Ball,592314.0,Stretch,Stretch
80,Fastball (2-seam),490987-5531fb5f-353b-4065-96be-4e02696c8d0e,Fastball (2-seam),Fastball,Fastball,592314.0,Stretch,Stretch
81,Slider,490987-02b98e0c-1a9b-4aa4-8d81-30f9eb7f28c4,Slider,Breaking Ball,Breaking Ball,592314.0,Stretch,Stretch
82,Slider,490987-0f053438-e887-4151-b80c-b191f3bfa236,Slider,Fastball,Breaking Ball,605388.0,Stretch,Stretch
83,Changeup,490987-8fb7f74a-5e03-46e4-ae70-51c6fd7bf2c4,Changeup,Fastball,Changeup,605388.0,Stretch,Stretch
84,Slider,490987-45591c3c-30c1-4921-a258-bfb8d2afc474,Slider,Fastball,Breaking Ball,605388.0,Stretch,Stretch
85,Slider,490987-a68aaaa6-a8c0-4c08-b99c-3f77ea0f01f7,Slider,Fastball,Breaking Ball,605388.0,Stretch,Stretch
86,Fastball (2-seam),490987-6833b0b2-bc96-4bb0-85c7-cd7ca01d949f,Fastball (2-seam),Fastball,Fastball,605388.0,Stretch,Stretch
87,Curveball,490987-44690964-c46c-46ea-a937-305de56a9b69,Changeup,Fastball,Breaking Ball,605388.0,Stretch,Stretch
88,Fastball (2-seam),490987-bae1dcaa-b7b8-462c-b54f-fd4763afe798,Fastball (2-seam),Fastball,Fastball,605388.0,Stretch,Stretch
89,Fastball (2-seam),490987-a21ebfa1-b31c-4d78-bdb1-c71f728bb72d,Fastball (2-seam),Fastball,Fastball,605388.0,Stretch,Stretch
90,Changeup,490987-f28861ea-2e04-4764-b851-ce9fd4caf400,Changeup,Breaking Ball,Changeup,605388.0,Stretch,Stretch
91,Fastball (2-seam),490987-ad8a5f4f-ee2f-4998-ab1e-0f5f5de4571d,Fastball (2-seam),Fastball,Fastball,605388.0,Stretch,Stretch
92,Curveball,490987-d25a4f49-1142-4ada-9fbc-544886b97c99,Curveball,Breaking Ball,Breaking Ball,605388.0,Stretch,Stretch
93,Fastball (4-seam),490987-2ec7a27b-68af-44d2-9752-7ce29d6ff15c,Fastball (4-seam),Fastball,Fastball,570257.0,Stretch,Stretch
94,Slider,490987-ba579212-9582-4e81-9394-adadd2481f03,Slider,Fastball,Breaking Ball,570257.0,Stretch,Stretch
95,Fastball (4-seam),490987-77fcb36f-eb9a-4901-82eb-2452161f2b2d,Fastball (4-seam),Fastball,Fastball,570257.0,Stretch,Stretch
96,Fastball (2-seam),490987-a301cabf-83ff-4ffb-9f2f-4b167f0cd8d5,Fastball (2-seam),Fastball,Fastball,570257.0,Stretch,
97,Fastball (2-seam),490987-e5815a99-9867-4348-9383-1f44ca6b56a6,Fastball (2-seam),Fastball,Fastball,570257.0,Stretch,Stretch
98,Slider,490987-090ed048-bc64-4ff1-8fb8-ab60daa4ad19,Slider,Fastball,Breaking Ball,570257.0,Stretch,Stretch
99,Slider,490987-9f377a73-7711-4882-b212-247b11d21f3b,Slider,Fastball,Breaking Ball,570257.0,Stretch,Stretch
100,Slider,490987-a8b81389-110d-4e8f-a018-199a7d7ef583,Slider,Fastball,Breaking Ball,570257.0,Windup,Stretch
101,Slider,490987-1c6b9d58-e497-45b7-a0ba-21b1aaa7ba03,Slider,Fastball,Breaking Ball,570257.0,Stretch,Stretch
102,Fastball (4-seam),490987-cb34d919-bf0c-4cad-b9c9-11ed770093e8,Fastball (4-seam),Fastball,Fastball,570257.0,Stretch,Stretch
103,Fastball (2-seam),490987-582b185a-673d-454f-be24-42c45a5bfbd6,Fastball (2-seam),Fastball,Fastball,570257.0,Stretch,Stretch
104,Fastball (4-seam),490987-cd6f81d0-2884-44af-8a5e-694c47a789c0,Fastball (4-seam),Fastball,Fastball,570257.0,Stretch,
105,Slider,490987-8ebdc0ca-65e8-4127-aabf-6171612af5bc,Slider,Fastball,Breaking Ball,570257.0,Windup,Stretch
106,Fastball (4-seam),490987-8574b841-5bf6-4b31-9ec1-08ed29a14247,Fastball (4-seam),Fastball,Fastball,542432.0,Stretch,Stretch
107,Fastball (4-seam),490987-a939556f-c0ce-4ab7-853d-956b30da9151,Fastball (4-seam),Fastball,Fastball,542432.0,Stretch,Stretch
108,Fastball (4-seam),490987-338182b6-1185-4d39-93f2-0f8f7b6d1a67,Fastball (4-seam),Breaking Ball,Fastball,542432.0,Stretch,Stretch
109,Slider,490987-c9f983ce-0d82-4f78-8fbc-db45e81f11c8,Slider,Breaking Ball,Breaking Ball,542432.0,Stretch,Stretch
110,Slider,490987-72195c76-5c01-4e4a-9c7d-9872cd0dc10c,Slider,Breaking Ball,Breaking Ball,542432.0,Stretch,Stretch
111,Fastball (4-seam),490987-24fdf1cc-0c26-4a3f-82c6-031a2dcfaad3,Fastball (4-seam),Fastball,Fastball,542432.0,Stretch,Stretch
112,Fastball (Split-finger),490987-ef23d536-2a3b-475c-98be-867adff43029,Fastball (Split-finger),Fastball,Fastball,472610.0,Stretch,Stretch
113,Fastball (2-seam),490987-2079eb55-b9a2-4b61-aedb-476e8a718991,Fastball (2-seam),Fastball,Fastball,472610.0,Stretch,Stretch
114,Fastball (Split-finger),490987-ec136427-0068-4a23-b165-cfeae9bef727,Fastball (Split-finger),Breaking Ball,Fastball,472610.0,Stretch,Stretch
115,Fastball (2-seam),490987-96ce954d-3e6e-4719-8d35-325911629d01,Fastball (2-seam),Fastball,Fastball,472610.0,Stretch,Stretch
116,Slider,490987-181e2354-127d-4dab-96f5-bcfe17937913,Slider,Fastball,Breaking Ball,472610.0,Stretch,Stretch
117,Fastball (2-seam),490987-5ad4a04a-8ff5-4227-ba9e-707a3ad83ecb,Fastball (2-seam),Fastball,Fastball,472610.0,Stretch,Stretch
118,Fastball (Split-finger),490987-40615eb3-6c74-4265-a28f-4f9d73c39c86,Fastball (Split-finger),Fastball,Fastball,472610.0,Stretch,Stretch
119,Fastball (2-seam),490987-dfc03752-5f8a-45a4-b904-c1ba1cf4823a,Fastball (2-seam),Fastball,Fastball,472610.0,Stretch,Stretch
120,Fastball (2-seam),490987-79a32c9c-d4dc-4a63-aae9-804f697eb56d,Fastball (2-seam),Fastball,Fastball,472610.0,Stretch,Stretch
121,Fastball (2-seam),490987-d42897f9-615d-4df3-9948-39d5dab47e57,Fastball (2-seam),Fastball,Fastball,472610.0,Stretch,Stretch
122,Slider,490987-6e095e22-78db-4fda-88e6-1e663d28760e,Slider,Fastball,Breaking Ball,472610.0,Stretch,Stretch
123,Fastball (2-seam),490987-fd6e0b0b-26f1-4fcb-ae6d-5aa69f0767bc,Fastball (2-seam),Fastball,Fastball,472610.0,Stretch,Stretch
124,Fastball (2-seam),490987-07cc8175-e423-46b3-9a77-aa272dff9cf6,Fastball (2-seam),Breaking Ball,Fastball,472610.0,Stretch,Stretch
125,Slider,490987-90dfcce3-20e8-445b-a4e1-182731875ce3,Fastball (Split-finger),Breaking Ball,Breaking Ball,472610.0,Stretch,Stretch
126,Slider,490987-1fc9757f-bf55-4e46-85ab-33466bf4ea84,Slider,Breaking Ball,Breaking Ball,472610.0,Stretch,Stretch
127,Knuckleball,490987-c94cc38d-d7b4-4693-ba21-1059199ea88d,Knuckleball,Breaking Ball,Breaking Ball,433217.0,Stretch,Stretch
128,Knuckleball,490987-fb916993-89e3-4802-8444-bf056fc36b62,Knuckleball,Breaking Ball,Breaking Ball,433217.0,Stretch,Stretch
129,Knuckleball,490987-e9945e91-66ad-48c7-9db0-4ff65b23b6d6,Fastball (2-seam),Breaking Ball,Breaking Ball,433217.0,Stretch,Stretch
130,Fastball (4-seam),490987-73c9b1f6-09c6-48e7-9775-91fe63a8a145,Fastball (4-seam),Fastball,Fastball,592426.0,Windup,Stretch
131,Slider,490987-6b4e0cc4-43d4-4b0e-9752-cca92b99a5d5,Slider,Fastball,Breaking Ball,592426.0,Windup,Windup
132,Fastball (4-seam),490987-5326c817-b001-46fd-9529-5eced5430e64,Fastball (4-seam),Fastball,Fastball,592426.0,Windup,Windup
133,Fastball (4-seam),490987-33089b0a-4687-457e-aaa5-d49e55c06b8e,Fastball (4-seam),Fastball,Fastball,592426.0,Stretch,Stretch
134,Slider,490987-a9af8ca6-7cc5-4cf8-a571-673be524e9a7,Slider,Fastball,Breaking Ball,592426.0,Stretch,Stretch
135,Fastball (4-seam),490987-201c3905-7415-4359-b9b0-507be7469687,Fastball (4-seam),Fastball,Fastball,592426.0,Stretch,Stretch
136,Curveball,490795-55c87eea-c47a-47f9-8c3a-cf7f0b7649c7,Curveball,Breaking Ball,Breaking Ball,527054.0,Windup,
137,Fastball (4-seam),490795-fd6c9b15-49d7-4c8d-a00c-018a2c11bc17,Fastball (4-seam),Fastball,Fastball,527054.0,Windup,
138,Curveball,490795-4de5b5d3-5b6b-4cc4-b153-7387ba36bb34,Curveball,Breaking Ball,Breaking Ball,527054.0,Windup,
139,Slider,490795-1847c56d-b752-4e67-b7de-480c13afe352,Slider,Breaking Ball,Breaking Ball,527054.0,Stretch,Stretch
140,Fastball (4-seam),490795-90c61652-fd72-4d67-8dc6-922b33959929,Fastball (4-seam),Fastball,Fastball,527054.0,Stretch,Stretch
141,Fastball (4-seam),490795-d3cad034-702b-443e-b676-015e393d4863,Fastball (4-seam),Fastball,Fastball,527054.0,Stretch,Stretch
142,Fastball (4-seam),490795-e2dd5e64-93bb-49d8-811b-fd0a6e573c06,Fastball (4-seam),Fastball,Fastball,527054.0,Stretch,Stretch
143,Fastball (4-seam),490795-a6c4e1cf-20a5-4501-a387-f699e4a31c5e,Fastball (4-seam),Fastball,Fastball,527054.0,Stretch,
144,Fastball (4-seam),490795-23943885-9df9-4b5d-a324-41733315ce18,Fastball (4-seam),Fastball,Fastball,527054.0,Stretch,
145,Slider,490795-ca0cfcb8-d188-46aa-b469-284f7f3eb77d,Slider,Breaking Ball,Breaking Ball,527054.0,Stretch,Stretch
146,Fastball (4-seam),490795-d366deff-fbed-4068-8ce7-c99b480055a2,Fastball (4-seam),Fastball,Fastball,527054.0,Stretch,Stretch
147,Curveball,490795-21d00534-2caf-4780-ae38-a512c0b7cf63,Curveball,Breaking Ball,Breaking Ball,527054.0,Stretch,Stretch
148,Curveball,490795-788f0078-2f21-4279-9a6a-6f00a3356fed,Fastball (4-seam),Breaking Ball,Breaking Ball,592866.0,Windup,Windup
149,Fastball (4-seam),490795-13e1ad3f-04ca-4ce8-9276-ec7aa8a1447c,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
150,Fastball (4-seam),490795-9593d63c-011b-449a-9696-1b3661969abd,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
151,Fastball (4-seam),490795-d4fe0b74-c51f-4c5f-84ca-4fc39f970202,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
152,Fastball (4-seam),490795-ca2101e3-18e7-43f9-817b-f7341e180e77,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
153,Fastball (4-seam),490795-9fa23047-3e39-470e-b94e-56d89aa76f5a,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
154,Fastball (4-seam),490795-46cdca3c-0c2e-4822-b467-5ec3d6ad9512,Fastball (4-seam),Fastball,Fastball,527054.0,Windup,Windup
155,Fastball (4-seam),490795-d762acc0-9af4-4f6a-9e4c-12c764d34885,Fastball (4-seam),Fastball,Fastball,527054.0,Windup,
156,Slider,490795-9c05b4dc-8367-47d8-9d8c-65dc5b3e8d64,Slider,Breaking Ball,Breaking Ball,527054.0,Stretch,Stretch
157,Slider,490795-c5c7ff01-f4b2-4dd2-8a8e-8b6dd77039fb,Slider,Breaking Ball,Breaking Ball,527054.0,Stretch,
158,Fastball (4-seam),490795-6c3eee66-7aa1-45df-9605-33af8cf200b5,Fastball (4-seam),Fastball,Fastball,527054.0,Stretch,
159,Slider,490795-f392d390-0972-4d98-8d55-64a4d03c882d,Slider,Breaking Ball,Breaking Ball,527054.0,Stretch,
160,Fastball (4-seam),490795-653b33b6-11b5-4c03-8c8b-f81701e8dfad,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
161,Fastball (4-seam),490795-47b4da12-a6fe-4151-95ec-da4a82aae609,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,
162,Fastball (4-seam),490795-50543e7c-ee6e-4c29-9448-3ad58e9c4832,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
163,Fastball (4-seam),490795-4c505bad-ad1c-493d-bb9b-c3b5df9345bb,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
164,Knuckle curve,490795-e16c17ba-a9c3-4e50-8505-50c71b623279,Sinker,Breaking Ball,Breaking Ball,592866.0,Windup,Windup
165,Fastball (4-seam),490795-7b6c586c-0a4c-4c04-957f-5c57d934000a,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
166,Fastball (4-seam),490795-c8e1b42c-f4e2-41fb-8f6e-a03f87abca49,Fastball (4-seam),Fastball,Fastball,592866.0,Windup,
167,Slider,490795-fa918bb1-e0db-4115-ac32-082c2e29b8a9,Slider,Breaking Ball,Breaking Ball,592866.0,Windup,Windup
168,Curveball,490795-d93f35cd-ddbf-4c6e-8131-2f1cd63b43e8,Curveball,Breaking Ball,Breaking Ball,527054.0,Windup,
169,Fastball (2-seam),490795-44701e9d-f37f-4430-94df-4047f199dd68,Fastball (2-seam),Breaking Ball,Fastball,527054.0,Windup,
170,Curveball,490795-5cdb0f06-d72b-4ca5-abb0-97f549afe556,Curveball,Breaking Ball,Breaking Ball,527054.0,Windup,
171,Changeup,490795-52190dc6-9c46-45c1-9663-78a12f2bd20e,Changeup,Changeup,Changeup,527054.0,Windup,Windup
172,Slider,490795-588ecb07-6b0a-4972-b379-df9d405fb781,Slider,Fastball,Breaking Ball,527054.0,Windup,Windup
173,Slider,490795-4bd046a8-b8db-42c2-9d69-7d7739b4e15c,Slider,Fastball,Breaking Ball,527054.0,Windup,Windup
174,Fastball (4-seam),490795-026e436c-5956-418c-a39f-d34ab4cf7fe7,Fastball (4-seam),Fastball,Fastball,527054.0,Windup,Windup
175,Fastball (4-seam),490795-ffa60bf2-1e03-4f5c-a7d5-69e9f2553212,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
176,Fastball (4-seam),490795-3b6e0fe2-fd99-499e-8c9e-89beb6b4a9ca,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,Windup
177,Fastball (4-seam),490795-27c4e957-0baa-481b-b98e-2047a9409a9c,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,
178,Fastball (4-seam),490795-e5daa287-737a-449b-b4ff-2d27193a6ccf,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Windup,
179,Curveball,490795-38408c5c-215c-4e56-a2ba-30ca862d5528,Curveball,Fastball,Breaking Ball,592866.0,Windup,Windup
180,Slider,490795-9a3090e3-652f-4d08-bf26-842b78bfdb83,Slider,Breaking Ball,Breaking Ball,592866.0,Stretch,
181,Sinker,490795-bcc16f86-368a-437c-9236-6933bf90a106,Sinker,Breaking Ball,Fastball,592866.0,Stretch,Stretch
182,Changeup,490795-3a79f66b-e1c4-41cb-9fc9-0982e6984df2,Changeup,Fastball,Changeup,592866.0,Stretch,Stretch
183,Slider,490795-23ce0f6f-1691-416d-8329-fd8d4e5ab8dc,Slider,Breaking Ball,Breaking Ball,592866.0,Stretch,Stretch
184,Fastball (4-seam),490795-b6bbfd05-7fe4-4c1c-bc1c-34776d9df7bc,Fastball (4-seam),Breaking Ball,Fastball,592866.0,Stretch,Stretch
185,Fastball (4-seam),490795-eaedb884-ea71-468a-8d49-40008a121035,Fastball (4-seam),Fastball,Fastball,527054.0,Windup,Windup
186,Curveball,490795-7fc8e206-6a41-450b-ba79-dac6b28d69a5,Curveball,Breaking Ball,Breaking Ball,527054.0,Windup,Windup
187,Changeup,490795-29f4b5f2-d69a-487d-81eb-9390a1d58ff0,Changeup,Changeup,Changeup,527054.0,Windup,Windup
188,Fastball (4-seam),490795-0a621f49-0889-454c-831f-613f7651e615,Fastball (4-seam),Fastball,Fastball,527054.0,Windup,
189,Fastball (4-seam),490795-c4f32acb-8595-4772-81cb-44d8fef636b1,Fastball (4-seam),Fastball,Fastball,527054.0,Windup,Windup
